Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 01/01  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/01  07:00:00,SFH,2011-2015,No retrofit,11924860.63,10493162.72,1431697.914,0,8867180.293,13.75
 01/01  08:00:00,SFH,2011-2015,No retrofit,9562411.613,8607946.337,954465.2762,0,4211252.116,72.09
 01/01  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,133.83
 01/01  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,178.66
 01/01  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,172.24
 01/01  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,145.35
 01/01  13:00:00,SFH,2011-2015,No retrofit,5435873.991,3526943.438,1908930.552,0,8867180.293,113.16
 01/01  14:00:00,SFH,2011-2015,No retrofit,3209457.905,2254992.628,954465.2762,0,4211252.116,48.35
 01/01  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,12.67
 01/01  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  18:00:00,SFH,2011-2015,No retrofit,5432933.261,4478467.985,954465.2762,0,4211252.116,0
 01/01  19:00:00,SFH,2011-2015,No retrofit,5046942.909,3138012.357,1908930.552,0,8867180.293,0
 01/01  20:00:00,SFH,2011-2015,No retrofit,4700470.596,2791540.043,1908930.552,0,10419156.35,0
 01/01  21:00:00,SFH,2011-2015,No retrofit,6824514.344,4915583.792,1908930.552,0,4211252.116,0
 01/01  22:00:00,SFH,2011-2015,No retrofit,8056794.377,5670631.187,2386163.191,0,4211252.116,0
 01/01  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/01  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/02  07:00:00,SFH,2011-2015,No retrofit,11894684.91,11894684.91,0,0,8867180.293,13.51
 01/02  08:00:00,SFH,2011-2015,No retrofit,11537502.29,10583037.01,954465.2762,0,4211252.116,55.82
 01/02  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,79.9
 01/02  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,109.02
 01/02  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,97.31
 01/02  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,94.71
 01/02  13:00:00,SFH,2011-2015,No retrofit,1990252.105,81321.55243,1908930.552,0,8867180.293,99
 01/02  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,46.09
 01/02  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,13.09
 01/02  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  18:00:00,SFH,2011-2015,No retrofit,2389734.146,1435268.869,954465.2762,0,4211252.116,0
 01/02  19:00:00,SFH,2011-2015,No retrofit,2956305.925,1047375.372,1908930.552,0,8867180.293,0
 01/02  20:00:00,SFH,2011-2015,No retrofit,2846069.194,937138.6415,1908930.552,0,10419156.35,0
 01/02  21:00:00,SFH,2011-2015,No retrofit,5110708.3,3201777.748,1908930.552,0,4211252.116,0
 01/02  22:00:00,SFH,2011-2015,No retrofit,6518481.42,4132318.229,2386163.191,0,4211252.116,0
 01/02  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/02  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/03  07:00:00,SFH,2011-2015,No retrofit,11185049.71,9753351.796,1431697.914,0,8867180.293,13.43
 01/03  08:00:00,SFH,2011-2015,No retrofit,8929544.373,7975079.096,954465.2762,0,4211252.116,69.95
 01/03  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,93.46
 01/03  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,159.16
 01/03  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,112.29
 01/03  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,94.89
 01/03  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,8867180.293,65.28
 01/03  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,36.84
 01/03  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,12.92
 01/03  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,0
 01/03  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,8867180.293,0
